,text,meta,_input_hash,_task_hash,label,score,priority,spans,_session_id,_view_id,answer,options,accept,class,len
73,"We also shipped our first low-volume 10-nanometer SKU, and our modem business grew 26% over the fourth quarter of last year. Intel is undergoing one of the most significant transformations in corporate history from a PC-centriccompany to a data-centric company. We have made thoughtful, disciplined investments along the waythat have expanded our TAM to $260 billion.","{'meta': 'Intel Corporation, Q4 2017 Earnings Call, Jan 25, 2018'}",-743602322,-493143330,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
74,"Expenses were managed tightly, and noninterest expense declined from the fourth quarter of '14 as wecontinue to reduce our financial centers and the associated cost, driven by consumer behavior patternsshifting to more digital. The number of mobile banking customers continues to increase. We ended thequarter at roughly 17 million, and these -- activity from these customers accounts for roughly 13% of alldeposit transactions.","{'meta': 'Bank of America Corporation, Q1 2015 Earnings Call, Apr 15, 2015'}",-134721375,178781027,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
75,"In our infrastructure ecosystem, the GapTech ecosystem was $21.1 billion on a trailing 12 months' basisand Q4 was up 7% with database up mid-single digits, driven by mid-teens database license growth. Andlet me repeat that, mid-teens database license growth. Autonomous Database, and","{'meta': 'Oracle Corporation, Q4 2019 Earnings Call, Jun 19, 2019'}",-684107715,1569012405,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
76,"step change in productivity, transforming our supplychain, focusing our portfolio and strengthening category business model and innovation plans. Thistransformation strategy is ultimately a growth strategy. We're dramatically improving productivity with alot of upside still ahead.THE PROCTER & GAMBLE COMPANY FQ1 2016 EARNINGS CALL |  OCT 23, 2015  a division of","{'meta': 'The Procter  Gamble Company, Q1 2016 Earnings Call, Oct 23, 2015'}",-487179172,-2012476843,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
77,"And at the same time, I mentioned it also before in the second quarter, we don'twant to optimize short-term results. We still want to catch growth where we can catch growth and ofcourse definitely still invest in our digital transformation. Within those markets, I'm very happy to mention that in our French business, our German business andour Italian business, we performed better than market.","{'meta': 'Randstad N.V., Q3 2019 Earnings Call, Oct 22, 2019'}",-1720146978,2116363944,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
78,"On Slide 16, we can see how our More For More strategy is reaping benefits in our Brazilian operations,where we are delivering profitable value growth. First, as regards to mobile business, we haveimplemented different price increases during the last few months, starting with pure postpaid and hybridin the last few months of 2018 and following with some prices in prepaid packages during March andApril.","{'meta': 'Telefonica, S.A., Q1 2019 Earnings Call, May 10, 2019'}",252135084,-381072268,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
79,"Withour combination of digital, store and in-home assets, we believe we have a great opportunity to addresskey customer pain points, build stronger ongoing relationships with our customers and unleash growthopportunities. As we've stated before, fiscal 2017 is a year of exploration and experimentation, and we are testingseveral concepts across -- around the country that have the potential to be compelling customerexperiences. Based on early results, we've expanded both the in-home adviser program and the GeekSquad on-demand pilots to additional markets.","{'meta': 'Best Buy Co., Inc., Q3 2017 Earnings Call, Nov 17, 2016'}",286843654,1438740283,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
80,"S&P Global Inc. 7their mobile device. In Q2, we rolled out new tools to make it easier for businesses to promote posts andtrack performance directly from the Instagram app.","{'meta': 'Facebook, Inc., Q2 2016 Earnings Call, Jul 27, 2016'}",176512034,-67206788,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
81,"Record cloud and software revenue up 20%, decisively beating our full year guidance. We are one of thefew companies that is growing both in the cloud and on-premise license revenues. Operating profit was up13%, which also beats the top end of our guidance.","{'meta': 'SAP SE, Q4 2015 Earnings Call, Jan 22, 2016'}",-1326764109,-2006758643,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
82,"This will enable us to reinvest in key opportunitiesand in strategic areas close to our core businesses in a way that leverages our operating capabilities. Forexample, we are empowering leaders to leverage automation, analytics and additional technologies todrive cost savings and aligning internal accountability to ensure we deliver results. We are confident that we will generate more than $500 million in savings relative to our fiscal '18 baselinein 5 years or less.","{'meta': 'Cardinal Health, Inc., Q4 2019 Earnings Call, Aug 08, 2019'}",-971533184,-602419459,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Plan'],Plan,1
83,"A key driver is the acceleratedimplementation of cost value engineering in the supply chain. We are also taking major steps to improvetime-to-market for product development by using our own PLM software product as the digital backboneto improve collaboration and increase process speed and transparency. More than 13,000 Siemensdevelopers are now using our own PLM software.","{'meta': 'Siemens Aktiengesellschaft, Q4 2017 Earnings Call, Nov 09, 2017'}",-1768434085,1984226134,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
84,"the whole of the firm. We've built scale in Marcus, our underwriting algorithms and our platformsand in our delivery, not just to scale cards and deposits but now equally with respect to credit cards. And Ithink that orientation is of benefit to us in terms of how we build.","{'meta': 'The Goldman Sachs Group, Inc., Q1 2019 Earnings Call, Apr 15, 2019'}",-176899925,1657461392,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
85,"We've made swift progress regarding our network sharing agreements that substantially improve ourasset utilization as well as unlocking tower monetization possibilities moving forward. Our new focus onpartnering is evident across the business from IBM in cloud to AT&T and Arm in IoT, which I will expandon.","{'meta': 'Vodafone Group Plc, 2019 Earnings Call, May 14, 2019'}",-2011295883,103293414,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
86,"I mean, the history is repeating. This is howwe built the ERP business. We started with the core.","{'meta': 'SAP SE, Q4 2017 Earnings Call, Jan 30, 2018'}",367482320,-1568004500,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
87,"We're going to continue to do that. Specifically, things like the databasemigration tool that are helpful for customers when they move production databases to -- or from on-premises to the cloud with virtually no downtime. And also, many of our AWS customers are beginningto choose and continue to choose the AWS scheme and conversion tool which really switches databaseengines to get out of old guard proprietary databases and on to AWS.","{'meta': 'Amazon.com, Inc., Q3 2016 Earnings Call, Oct 27, 2016'}",-1700835675,-859852646,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
88,"However, earnings were impacted byWESFARMERS LIMITED FH1 2019 EARNINGS CALL |  FEB 21, 2019   12investments in customer service and the transformation program. The leading indicators have stabilized.","{'meta': 'Wesfarmers Limited, H1 2019 Earnings Call, Feb 21, 2019'}",-651283246,913379666,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
89,"And last point before entering to Q&A, let me just invite you to a DigitalJourney that we would like to organize on the 22nd of November. We want really to spend time to explainmore in detail the transformation that we are implementing in our businesses. I think it's -- it is relevant.","{'meta': 'Societe Generale Societe anonyme, Q2 2018 Earnings Call, Aug 02, 2018'}",-2049554322,-783634862,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
90,"Over the last few years, we haveseen the transformation, successive transformation of people's habits, especially out of the technologicchanges. Those transformations actually became so intense that the adaptation to them is not a step-by-step, as weknow -- as we knew. We would evolve to a new level and things would stable -- get stable, you would goafter the next level.","{'meta': 'Itau Unibanco Holding S.A., H1 2019 Earnings Call, Sep 03, 2019'}",1985342249,172542354,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Release'],Release,1
91,"And so we're working to automate as much as we can of that process to ensurethat we can facilitate a cost-effective and high-value transformation for our customers. OperatorWe will now take our question from Michael Briest from UBS.Michael BriestUBS Investment Bank, Research DivisionCongratulations, Jen and Christian, on your promotions.","{'meta': 'SAP SE, Q3 2019 Earnings Call, Oct 21, 2019'}",544296362,-402888952,,,,,,choice,accept,"[{'id': 'Plan', 'text': 'Plan'}, {'id': 'Pilot', 'text': 'Pilot'}, {'id': 'Release', 'text': 'Release'}, {'id': 'Advanced', 'text': 'Advanced'}]",['Pilot'],Pilot,1
