Text,Meta
"The effect and execution of our strategy, scale to fit, to fix North America and to enhance our net marginin dollar as well as in percentage, we'll both combine to improve our margins. We believe that the assetefficiency that we have improved over the last couple of years due to our transformation, combinedwith modernization of our working platform to -- will continue to have positive effect on working capitalefficiency. So you combine all this, I still believe that the ability to deliver cash will only improve and thetotal cash conserving, absent of a recession, will improve going forward.","Schlumberger Limited, Q3 2019 Earnings Call, Oct 18, 2019"
"For us, we actually -- we sawthat business was up slightly in the quarter. Similar to Q2, units were down, but ASPs were up and a bigpart of that was mixing into those bigger screen sizes and more fully featured technologies. We like thatpositioning heading into the fourth quarter.","Best Buy Co., Inc., Q3 2018 Earnings Call, Nov 16, 2017"
"Our retail stores experienced strong double-digit growth in visitors and revenue in the December quarter,and we continue to expand our global presence with plans to open our first store in Singapore and oursecond store in Dubai soon. We're continually updating our stores and adding new exciting outreachprograms to educate kids on our products, entertain the community with fresh live music, teach futureSwift developers to code and empower entrepreneurs to start, grow and evolve their businesses. Let me now turn to our cash position.","Apple Inc., Q1 2017 Earnings Call, Jan 31, 2017"
"Mark Robert PetrieCIBC Capital Markets, Research DivisionOkay. And with regards to the ERP, SAP implementation, where are we with that and what's the sort oftime line for sort of full effectiveness from that program?Luc MongeauPresidentYes","George Weston Limited, Q3 2018 Earnings Call, Nov 20, 2018"
"The growth of the sector, deriving from the increasing electrification of the economy,that's the first one; decarbonization, which implies the replacement of polluting power plants by cleanand efficient energy in order to achieve environmental sustainability, that's the second one; opportunitiesin networks, as it is the essential integrator of the whole system and the true anti [ph] of the security ofsupply , that's the third; supply transformation, offering more than just energy because digitalization allowsit and customers demand to be more sophisticated , that's the fourth; and the last one, the efficiency thatenables a competitive supply in a primary industry as ours.","Iberdrola, S.A., 2015 Earnings Call, Feb 24, 2016"
"Devin Patrick RyanJMP Securities LLC, Research DivisionMaybe first here, just in Wealth Management. You recently outlined the digitization strategy, which wasvery helpful. And with respect to the robo offering, it sounds that you're now going to be able to focuson the children of existing clients and some lower balance accounts, which it does seem smart","Morgan Stanley, Q2 2017 Earnings Call, Jul 19, 2017"
"Today, all of usare connected 24 hours a day. But the big change from digitalization are still to come. The Internet ofThings is the next exciting phase.","Telefonica, S.A., 2015 Earnings Call, Feb 26, 2016"
"However, later on, I will touch upon this, but I will explain about the investments that will be madetowards this in more detail. And regarding mobile communication and data communications, the forecast has been already announced. I therefore adhere --","Nippon Telegraph and Telephone Corporation, 2015 Earnings Call, May 15, 2015"
", it's just a different bucket?Jonathan M. PruzanCFO & Executive VPYes. I think that your description of what we're doing on the digitalization and the robo strategy is prettyaccurate. Listen, we have a business that is built to cater to clients with wealth.","Morgan Stanley, Q2 2017 Earnings Call, Jul 19, 2017"
"As we continue to grow the higher-margin businesses:HPC, up 20% organically; all-flash array, up 33%; Aruba, up 27%. Obviously, those parts of the portfolioHEWLETT PACKARD ENTERPRISE COMPANY FQ2 2017 EARNINGS CALL |   MAY 31, 2017","Hewlett Packard Enterprise Company, Q2 2017 Earnings Call, May 31, 2017"
"S&P Global Inc. 10Sheryl Kara SandbergCOO & DirectorOur growth was really strong across all of our marketer segments, but we had a particularly good quarterin brands, I think, driven by 2 things. The first is that we really have a great platform to do creativestorytelling on mobile, and I think we have that in a way that no one else does. Our mobile ad productis so integrated into the user experience and provides real, creative flexibility that people have a way toreach people on mobile, and that's becoming increasingly important in telling the stories that drive theirbusiness.","Facebook, Inc., Q1 2015 Earnings Call, Apr 22, 2015"
"Please turn to Slide 13. Next, we would like to discuss automobile business operations. With respectto Honda automobile group unit sales for the fiscal fourth quarter, a decline in sales, primarily in NorthAmerica, was more than offset by the positive effect of new model introductions in China","Honda Motor Co., Ltd., 2017 Earnings Call, Apr 28, 2017"
"So on the cloud margins, look, I mean, we have two pieces of our cloud business, the HANAEnterprise Cloud and the Business Networks, which are marching towards their targets and they areexactly in line with our expectations. In Saas, PaaS, you're right that the cloud margin has come downquite a bit and I have to admit, slightly above my expectations, to be honest.","SAP SE, Q2 2017 Earnings Call, Jul 20, 2017"
"We've now sold over300,000 smart thermostats in the U.K. and nearly 200,000 in North America. We're utilizing our end-to-end capability in operating platform design and operation, hardware and software development, dataanalytics, installation and maintenance to develop new products. We recently launched 3 new productsunder the Hive range in the U.K.: the active plug, window and door sensors and the Hive Motion Sensor.","Centrica plc, 2015 Earnings Call, Feb 18, 2016"
"Using Xeon Scalable, our customers have already achievedover 50 third-party-verified performance world records and are seeing more than 1.6x performanceincrease over our prior generation product across a wide range of real-world workloads. For example, the new AVX-512 instructions, double floating point performance, benefiting use caseslike HPC, VR and AI. In fact, artificial intelligence inference throughput improves by 2.4x gen-to-gen.","Intel Corporation, Q2 2017 Earnings Call, Jul 27, 2017"
"So we made an acquisition in the third quarter, as we talked about. We are continuing to expand ourcapabilities on our mobile application, our capabilities in terms of sales activity on that application. Andeverything you think about from an investment standpoint has a little bit of a digital focus on it.","U.S. Bancorp, Q3 2018 Earnings Call, Oct 17, 2018"
"But we do see alsothere to be tailwinds, at least for a franchise like ING and I think the whole digitalization is a tailwind forING. If any bank understands how to use digitalization in order to improve customer experience and withthat make the company even more efficient, it is ING.","ING Groep N.V., Q1 2016 Earnings Call, May 10, 2016"
"I think whatyou have to understand is that the labor dynamics around these digital transformation projects aremuch different than the labor dynamics around the outsourcing business. So when you talk about digitalofferings and digital transformation with our partners, you do talk about much more client intimacy.","DXC Technology Company, Q2 2018 Earnings Call, Nov 07, 2017"
"And we're in full preparationfor that now. It's a very substantial infrastructure exercise because you're essentially setting up notjust a new company, a new corporate around that, but actually all the relevant governance and systemsto actually meet those requirements. And clearly, following on from that.","Credit Suisse Group AG, Q2 2015 Earnings Call, Jul 23, 2015"
"This CEO is now switching from competitive products to S/4HANA. And they,in particular, informed me that the pricing that they're getting from the best of breed in CRM is up 60%year-over-year, that it's obvious that it's a pricing strategy, so they have a limited number of accounts. And because their portfolio is limited to one slice of the enterprise pie, the best way to increase revenueis to charge more.","SAP SE, Q3 2017 Earnings Call, Oct 19, 2017"
"As an emerging platform, we are helping to develop the talent pool in the developers. On that front, wepartnered with more than 100 universities to include Mini Programs in their curriculum and students nowmake up 24% of Mini Programs' developers in China. Now turning to next page is Weixin Pay.","Tencent Holdings Limited, Q4 2018 Earnings Call, Mar 21, 2019"
"So really, our kind of goal and philosophy here is to drive efficiencies in our opsand pass those savings on to customers. And some of that's through, again, with the more than 60 pricereductions, but also finding through new service and feature launches better options for a customer thatpresent -- customers to present more efficient features for them to be able to run their businesses. OperatorOur","Amazon.com, Inc., Q4 2017 Earnings Call, Feb 01, 2018"
"We delivered strong adjusted script growth of 5.9% with comp scripts up7.2%. This was driven by the continued adoption of our Patient Care Program, collaborations with otherPBMs and our preferred status in a number of Medicare Part D networks as well as a prolonged allergyseason. As a result of our strong script growth, our market share in Q2 increased 120 basis points to26.5% versus Q2 of '18.","CVS Health Corporation, Q2 2019 Earnings Call, Aug 07, 2019"
"However, theoperating income is up by JPY 11.6 billion. The telecommunication network systems and the past businessrestructuring is showing impact. And the social infrastructure-related projects, profitability is improving,and that is why operating income is improving.","Hitachi, Ltd., 2017 Earnings Call, May 12, 2017"
"As Imentioned earlier, our recently compared Galaxy A9 provides an innovative camera experience through itsadoption of world's first quad camera and intelligent camera features. Looking ahead, we will continue to aggressively adopt next-generation technology and features acrossour entire Galaxy portfolio, including the Galaxy A, to give more consumers an opportunity to experiencecutting-edge innovation. Furthermore, we will pursue strengthening our mid- to long-term competitivenessacross","Samsung Electronics Co., Ltd., Q3 2018 Earnings Call, Oct 31, 2018"
"and we'll provide a notification to the people who are qualified forERP. Now in the process of negotiations with the labor union, that whole process dragged on until January,so people who will take out the ERP package basically and the criteria for the age extended by 1 year. Andbecause of that, there was an addition of 100 people who were added on to this ERP package.","KB Financial Group Inc., Q1 2019 Earnings Call, Apr 24, 2019"
And that's from channel to stores to our ecosystem andso forth. Phil was just over there opening a developer center last quarter. And so there's a -- there are aton of things going on there.,"Apple Inc., Q2 2017 Earnings Call, May 02, 2017"
"that value, they're more than happy to go into a larger scale partnership with you. And therefore,at mass scale, we'll be applying the logic of design thinking and innovation. We'll be applying the logicof value engineering, and we'll align our industry assets as well as everything around Leonardo, whichwill include machine learning, IoT, blockchain, and all of this comes together in a value message","SAP SE, Q1 2018 Earnings Call, Apr 24, 2018"
"Now with respect to monetization on MiniGames, I think we are testing the water in terms of monetizing the Mini Games. And over time, I thinkwe do want to create an ecosystem in which the app developers -- the Mini Game developers can actuallygenerate revenue, right, so that ecosystem would become prosperous. So we would more look at this asan opportunity for us to make sure that the Mini Games ecosystem is strong and vibrant.","Tencent Holdings Limited, Q1 2018 Earnings Call, May 16, 2018"
"We're focused on winning inHEWLETT PACKARD ENTERPRISE COMPANY FQ4 2016 EARNINGS CALL |  NOV 22, 2016   6key growth areas in the traditional data center, like big data analytics, high-performance compute, all-flash storage and networking. To that end, this year, we announced game-changing new products withnew versions of our Gen9 Servers and 3PAR StoreServ systems.","Hewlett Packard Enterprise Company, Q4 2016 Earnings Call, Nov 22, 2016"
"a disciplined and gradual increase of our network CapEx, especially in Germany where investmentshave been increased by EUR 60 million to close to EUR 200 million in the first quarter 2019. Theseinvestments are targeted towards modernization, digitalization and new connections and has workedtowards our objective of long-lasting and ambitious RAB growth. E.ON SE FQ1 2019 EARNINGS CALL |  ","E.ON SE, Q1 2019 Earnings Call, May 13, 2019"
"It will be available later this year on a wide range of 2016 models in the U.S. and Canada, including theChevrolet Equinox, Tahoe, Suburban, Corvette and Silverado. As we move through the year, we will also be sharing more details about industry-leading GMtechnologies, including vehicle-to-vehicle connectivity and Super Cruise, which is an advanced automateddriving feature that Cadillac expects to introduce during the 2017 model year. The last point I'd like to make before turning the presentation over to Chuck","General Motors Company, Q4 2014 Earnings Call, Feb 04, 2015"
"Even though demand was slightly dampened by the supply chain inventory reduction, our customers'third quarter growth were largely healthy. We saw continued strength from automotive, IoT and high-performance computing, which includes a surge demand from cryptocurrency mining. As for fabless inventory, days of inventory stayed high exiting 2Q '17, largely due to the deferred annualproduct launch of Android smartphones, mainly from April -- from March-April to June-July.","Taiwan Semiconductor Manufacturing Company Limited, Q3 2017 Earnings Call, Oct 19, 2017"
"But we couldn't be any happier with the range and quality of brands that we now own. For liveprogramming, it doesn't get any better than CNN for news. And for sports, we have the NBA, MarchMadness, NFL SUNDAY TICKET, Major League Baseball and PGA.","ATT Inc., Q2 2018 Earnings Call, Jul 24, 2018"
"As we've discussed on previous calls, the asset sale was a significant step in positioning Rite Aid to bea financially stronger organization with an even better network of stores and attractive positions in keymarkets. As we continue to focus on building momentum, we're also highly focused on making the most of thetransformational opportunity to accelerate our strategy through our merger with Albertsons. As a whole,the combined company is expected to operate approximately 4,900 stores, including more than 4,300pharmacies and over 300 health clinics, serving over 40 million customers a week and generating proforma combined revenues of $83 billion.","Rite Aid Corporation, Q4 2018 Earnings Call, Apr 12, 2018"
"And ifwe see potential for dividends, we will take that. But we will ultimately be governed by maintaining anappropriate leverage ratio and our communications to the rating agencies and how much dividends wetake out of the FinCo. What we have assumed in our outlook for 2019 is at a level that's comparable to2018 from a dividend perspective, and if we see anything above that, that would be upside.","General Motors Company, Q4 2018 Earnings Call, Feb 06, 2019"
"In the third quarter, we continue to drive strong financial results, delivering adjustedearnings per share of $2.08, $0.06 above the high end of our guidance range. We grew organic salesby 3% driven by the strength across Aerospace as well as in our Process automation and BuildingTechnologies businesses. Aerospace generated double-digit organic sales growth for the fifth straightquarter driven by our strong positions on key platforms, robust defense portfolio and ongoing demand foraftermarket services.","Honeywell International Inc., Q3 2019 Earnings Call, Oct 17, 2019"
"Sorry. Yaron Joseph KinarGoldman Sachs Group Inc., Research DivisionI just would have thought that the lower rates would have driven lower new applications but notnecessarily decrease the conversion rate of these new applications. Susan Patricia GriffithPresident, CEO & DirectorWell,","The Progressive Corporation, Q3 2019 Earnings Call, Nov 07, 2019"
"And wewill continue, of course, to deliver on our transformation, maintaining our efforts to be the best incustomer experience with an added focus on the commercial side. We will cross the 50% tipping pointof digital customers in 2018, and similarly for mobile customers in 2019. Digital sales will continue togrow exponentially with more focus on noncustomers, so it's a way of acquiring more customers.","Banco Bilbao Vizcaya Argentaria, S.A., Q4 2017 Earnings Call, Feb 01, 2018"
"So whatyou find in the IT room. So the racks, [indiscernible], the PDU and the software of automation on the datacenter. This has been going well.","Schneider Electric S.E., 2016 Earnings Call, Feb 16, 2017"
"Youcan see on this chart where we're now up to. On channels, in addition to the digital mortgage and chat-bot, we've upgraded desktop systems in ourbranches and call centers. The next phase of our mobile banking app is in pilot, and will go live nextyear.","Westpac Banking Corporation, 2019 Earnings Call, Nov 04, 2019"
"An example is our renewableoperations center in Toledo from where all of our almost 11,000 wind turbines are run remotely. Through analysis of the big data for our smart grid, we are continually testing and developing new servicesto increase customer satisfaction and loyalty and improve their energy efficiency. So an example of thoseservices monies through APPs or tailored tariff based on time of use to adapt to different customer needs;remote control of heating; distributor generation and storage.","Iberdrola, S.A., 2016 Earnings Call, Feb 22, 2017"
"We've selected a third city for business operations in commercialdeployment, and we expect to announce the location later this year. Also, Argo AI recently received alicense to test AVs in California, making it the fifth state we're now testing in. If we can move you to Slide 4 and you see Announcements at the top.","Ford Motor Company, Ford Motor Credit Company LLC, Q1 2019 Earnings Call, Apr 25, 2019"
"  6This transformation program will not only position us to win with the consumers and customers in NorthAmerica, it will also result in $100 million improvement in EBITDA for the fiscal year 2020.In summary, I'm confident that our strong foundation, combined with this transformative agenda, willposition Weston Foods to become one of the premier bakery in North America.","George Weston Limited, Q4 2017 Earnings Call, Mar 02, 2018"
"And in March, we agreed to divest our OTC JV stake for $13 billion. We alsoannounced a digital collaboration with Pear Therapeutics, which we expanded earlier this week to build outour capabilities in digital technologies. In April, we announced an agreement to acquire AveXis, which gives us a platform now in","Novartis AG, Q1 2018 Earnings Call, Apr 19, 2018"
"And that's how we manage them. Because in the end, given the factthat this is such a major transformation at ING from so many different perspectives, whether this is froma country perspective or more from a financial perspective as to what we do in risk and finance and whatwe do in the foundation in order to move to the Cloud or building a data pool, all that has to do with IT, allof that comes in the end to -- often to a couple of specialists, and with that, we prioritize over time. So wedon't manage specifically on a quarter-by-quarter basis, but we are managing this project and getting itdone.","ING Groep N.V., Q2 2018 Earnings Call, Aug 02, 2018"
"Page A7 gives you an overview. If it wasn't enough that in our industry we arechallenged through digitalization, low interest rates, the change of the business model and increase inconsumerism, conduct is a major issue that we are debating with regulators on top of all of the thingsthat we continuously around -- Solvency II, by the way, as a side comment, it would be great if we couldstop continuously inventing new charges, new risk capital ideas, but just let's move on after","Allianz SE, 2015 Earnings Call, Feb 19, 2016"
"So if you look at how we are driving business performance today, which a lot of the focus isaround managing decrementals, there's really 3 key components that are part of driving this performance. First is the transformation of the mindset of our entire organization, where we have in the past coupleof years, taken teamwork and the tightness of the chain of command to a completely new levels. So thisallows us now to plan and execute and also to adjust with great pace and agility, right?","Schlumberger Limited, Q1 2015 Earnings Call, Apr 17, 2015"
What do you see for the branches as you go forward? Is that trend line likely tocontinue as you continue with the increased penetration from the mobile app?Marianne LakeExecutive VP & CFOJPMORGAN CHASE & CO.,"JPMorgan Chase  Co., Q2 2015 Earnings Call, Jul 14, 2015"
", Page 28, it is an improvement of JPY 59.5 billion. Information & TelecommunicationSystems and Social Infrastructure & Industrial Systems, which includes power and Electronic Systems &Equipment and High Functional Materials & Components and Automotive Systems and Financial Services,these have improved the sales and operating profit. Chinese market is sluggish, so escalator, elevator.","Hitachi Ltd., 2015 Earnings Call, May 14, 2015"
"[Foreign Language] Hence, if you look at the 36-layer 3D NAND, which has alreadybeen developed, we -- for both enterprise SSD and mobile products, we have been providing samples andgoing through customer validation. Operator[Foreign Language]","SK Hynix Inc., Q4 2015 Earnings Call, Jan 26, 2016"
"another product that's out there. "" But what we are -- what I am struck by, Sanjay -- and I'm notsurprised by it because I believe this is really the payoff that will accelerate here, is that going all-inon this transformation, the benefits -- one doesn't have to pick one benefit versus another, becauseon the other side of this transformation is the opportunity to be way faster to the market, offer waybetter products, have way better risk management along credit dimensions, fraud, cybersecurity.","Capital One Financial Corporation, Q3 2018 Earnings Call, Oct 23, 2018"
"We delivered profitable share gains across the entire portfolio. We have stabilized ISGand have strengthened the collaboration amongst our family of businesses, including VMware, Pivotal,Boomi and SecureWorks. We've expanded our enterprise and commercial buyer base by more than100,000 with the investments we have made in our go-to-market engine.","Dell Technologies Inc., Q4 2019 Earnings Call, Feb 28, 2019"
"Just next week, we will be able to download a completely reimagined version of the United app. It'salready the #1 downloaded app amongst U.S. carriers, but we are making it even better, putting usefulinformation at your fingertips without losing the features our customers love. We'll also continue to adduseful information to over 60,000 mobile devices used by our employees that have real-time informationand communicate better and solve your problems in the moment.","United Continental Holdings, Inc., Q4 2018 Earnings Call, Jan 16, 2019"
"In retail, Azure was front and center at the NRF. Kroger is partnering with us to redefinecustomer experience in stalls and provide employees with AI-driven insights, while the Gap chose ourcloud to accelerate the digital transformation. And just this week, Albertsons chose Azure as its preferredcloud.","Microsoft Corporation, Q2 2019 Earnings Call, Jan 30, 2019"
"And also in terms of the energybusiness, the market is not being formulated as we have expected. In energy business, we will be dealing with the utility system transformation and we hope to reinforce ourSI expansion, focusing around the packaged software businesses for the new utility operators. And alsowe would like to converge ICT and energy technology so that we can increase our sales of energy storagesystems.","NEC Corporation, 2015 Pre Recorded Earnings Call, Apr 28, 2015"
"This quarter, APJ and Europe were particularly strong. From the solution perspective, SAPS/4HANA, cloud ERP grew strong triple digits. Our front office cloud portfolio also grew in triple digits.","SAP SE, Q1 2018 Earnings Call, Apr 24, 2018"
"On top of that, we have started mass-production -- of mass-producing 48-megapixel sensors to meet the strong demand for higher-resolutionsensors and plan to launch a 64-megapixel sensors, a world's first, in the second quarter of this year. Finally, we will also expand our mid- to long-term business scope by diversifying our product offerings viadevelopment of 3D and 4D, which stands for finger-on-display sensors and automotive IoT chips. Thankyou.","Samsung Electronics Co., Ltd., Q4 2018 Earnings Call, Jan 31, 2019"
"Wewill share more of the innovation happening with Windows 10 and our cloud services. We'll also host ourfinancial analyst briefing where Satya, Kevin Turner and I will discuss how the company's transformationprovides unique growth opportunities that drive increased lifetime customer value across our corebusinesses. We look forward to share that -- we look forward to sharing that progress with you.","Microsoft Corporation, Q3 2015 Earnings Call, Apr 23, 2015"
"the asset disposal, this is something that we are conducting on a continuous basis. From thisfiscal year, our corporate governance code has come into effect. Therefore, in terms of equities as well asreal estate, we are making progress.","Hitachi Ltd., Q2 2016 Earnings Call, Oct 28, 2015"
"And it'sgoing to be possible for us to improve the quality of the services and the support functions for Wowma!merchants. Next on the right-hand side, which is about fair and sound competition of telecommunications services. We were asked by Rakuten to provide them with roaming services and sincerely discussed and thennegotiated, we agreed on terms.","KDDI Corporation, H1 2019 Earnings Call, Nov 01, 2018"
"S&P Global Inc. 6At UPS, we're focused on delivering a successful peak season for customers and investors through morecollaboration, more capacity, better control and a strong commitment to service. First, we're focused onimproved collaboration with customers for better forecast, so we can collectively smooth work across thenetwork. We are helping customers optimize the experience they provide their customers, from the first click tothe final delivery.","United Parcel Service, Inc., Q3 2017 Earnings Call, Oct 26, 2017"
"automated or piloted autonomous driving is not a passing fad or fashion for us either. We'vebeen pioneering this technology for 15 years with the VW vehicle Stanley, which won the prestigiousDARPA challenge in 2005 who were the first carmaker to be allowed to test automated vehicles on publicroads in the United States of America, and we will be among the first, with Audi and Volkswagen, tosuccessfully market and sell this technology. The new Passat, for instance, comes with a traffic jam assistfunction that automatically accelerates, brakes and keeps the vehicle ending in stop-and-go traffic duringrush hours.","Volkswagen AG, 2014 Earnings Call, Mar 12, 2015"
"In terms of Q&A, we'll prioritize calls from the investmentcommunity. If you are a member of the media, please direct your inquiries to our communications team,who will be happy to respond immediately. We're going to target to keeping the call to","Enbridge Inc., Q2 2019 Earnings Call, Aug 02, 2019"
"Now, whether the games will be successful, I think, sort of will be tested out over time. So I thinkthat's what we have been doing on mobile games. Now, in terms of performance ads, I would say, wecontinue to look at performance ads as a long-term opportunity, and we will be solving this problem, andTENCENT HOLDINGS LIMITED FQ1 2017 EARNINGS CALL |  ","Tencent Holdings Limited, Q1 2017 Earnings Call, May 17, 2017"
"But I want to give you a flavor for some of the wins that we've -- on top of what we did in Q4, whatwe did in Q1. We'll talk first about ERP and what we did in that category. First, Academy Sports, a nice win for us in North America; Airbnb, they bought ERP, and Larry mentioned,this is actually a replacement of Workday Financials at Airbnb.","Oracle Corporation, Q1 2019 Earnings Call, Sep 17, 2018"
"Next, I would like to speak regarding the corporate governance code. Compliance with the corporate governance code has become a major issue recently. Many of the items inthis overlap with the efforts Mizuho has been making to date in terms of governance reform.","Mizuho Financial Group, Inc., 2015 Earnings Call, May 26, 2015"
"So my question is do you think that there isa bigger need now for convergence in either of those markets than there was before? And why is it thatyou think your U.K. mobile-only trends seems to be holding up a lot better than your German mobile-onlytrends when you look at net adds, ARPU, et cetera, on an underlying basis?Ángel Vilá BoixCOO & Executive DirectorThank you, Joshua, for your 2 -- actually 3 questions. On digitalization, we have described in Page 11first the 5 areas in which we are focusing with regards to the customer journey.","Telefonica, S.A., Q1 2018 Earnings Call, Apr 26, 2018"
"  8Okay, let me share with you the last bullets, AI, artificial intelligence, and the ubiquitous computing. Thisis to share with you the recent development in the semiconductor industry and how TSMC positionedourselves to ride on this trend.","Taiwan Semiconductor Manufacturing Company Limited, Q1 2017 Earnings Call, Apr 13, 2017"
"We are on Chart 4. In 2017, we have invested around EUR 1 billion for the deployment of our digitaltransformation, that as you know, will be further accelerated in the coming years. In 2017, our investments have been focused mainly on assets and clients.","Enel SpA, 2017 Earnings Call, Mar 22, 2018"
"It's around, on a quarterly basis, around EUR 100million OpEx and less than EUR 100 million of CapEx. That is on the IP network transformation. On thetower companies, maybe I start and Tim or Hannes chip in.","Deutsche Telekom AG, Q3 2018 Earnings Call, Nov 08, 2018"
"Across the board, there is a lot ofinfrastructure improvement happening not just at our hubs but across the board. But all of these arecustomer enhancing and going to make the customer experience better, more streamlined with morefeatures and more modern. So we actually feel good about it.","Delta Air Lines, Inc., Q2 2019 Earnings Call, Jul 11, 2019"
"In Trinidad, wethought we had a problem in the start-up of Juniper that we thought might shut us down for about --part of the system down for about 2 weeks. We ran a simulation in APEX in 15 minutes. That told us thatthe challenge that we had was actually not a challenge, and we were able to eliminate that 2 weeks ofproduction.","BP p.l.c., Q4 2017 Earnings Call, Feb 06, 2018"
"Or in other words, after a decade, we are now back on a strong growth trajectory. Before I come back to the PBT development over the same period, let me quickly comment on ourtransformation. Why is this important?","UBS Group AG, Q3 2018 Earnings Call, Oct 25, 2018"
"Alexander Stuart VirgoBofA Merrill Lynch, Research DivisionWondered if you could address a couple of things for me. I think on transformation, firstly, you appearedto have been making much better progress on central costs than I had expected and have done for acouple of quarters now, which I think is really good to see. And you've also talked to a couple hundredmillion essential costs per quarter, which you've also commented a little bit ahead of.","ABB Ltd, Q3 2019 Earnings Call, Oct 23, 2019"
"We gota taste of the combined power of NIKE and Apple again this month. And there's much more to come as wefocus on solving problems for athletes together, combining NIKE's deep knowledge of sport with Apple'sexpertise in digital technology. We're off to a solid start to the fiscal year, and we're confident we'll reach our near-term goals.","NIKE, Inc., Q1 2017 Earnings Call, Sep 27, 2016"
"okay? And in a sense, we're also helping to createdynamics with our merchandising efforts, our online efforts, our in-store efforts, is allowing us to createthat excitement about these more fully featured, larger-screen TVs. I think computing remains a veryimportant strength for us.","Best Buy Co., Inc., Q3 2017 Earnings Call, Nov 17, 2016"
